	annus	mes	observaciones	codigo	 titulo	 unidad	 fuente	 notas	fecha	valor
0	1964	1	                 787,10000	236000.0	CEMENTO. CONSUMO APARENTE	MILES DE TONELADAS	MINISTERIO DE INDUSTRIA	https://industria.gob.es/es-es/estadisticas/paginas/estadistica-cemento.aspx.  VENTAS - EXPORTACIONES + IMPORTACIONES. 	1/1964	787.1
1	1964	2	                 806,20000						2/1964	806.2
2	1964	3	                 780,10000						3/1964	780.1
3	1964	4	                 795,70000						4/1964	795.7
4	1964	5	                 832,20000						5/1964	832.2
5	1964	6	                 811,40000						6/1964	811.4
6	1964	7	                 849,60000						7/1964	849.6
7	1964	8	                 823,50000						8/1964	823.5
8	1964	9	                 847,90000						9/1964	847.9
9	1964	10	                 851,30000						10/1964	851.3
10	1964	11	                 865,20000						11/1964	865.2
11	1964	12	                 867,00000						12/1964	867.0
12	1965	1	                 887,80000						1/1965	887.8
13	1965	2	                 880,90000						2/1965	880.9
14	1965	3	                 901,70000						3/1965	901.7
15	1965	4	                 908,70000						4/1965	908.7
16	1965	5	                 898,30000						5/1965	898.3
17	1965	6	                 936,50000						6/1965	936.5
18	1965	7	                 969,50000						7/1965	969.5
19	1965	8	                 990,30000						8/1965	990.3
20	1965	9	                 990,00000						9/1965	990.0
21	1965	10	                 986,90000						10/1965	986.9
22	1965	11	                1014,70000						11/1965	1014.7
23	1965	12	                1023,60000						12/1965	1023.6
24	1966	1	                1039,00000						1/1966	1039.0
25	1966	2	                1042,50000						2/1966	1042.5
26	1966	3	                1079,00000						3/1966	1079.0
27	1966	4	                1068,50000						4/1966	1068.5
28	1966	5	                1082,40000						5/1966	1082.4
29	1966	6	                1085,90000						6/1966	1085.9
30	1966	7	                1099,80000						7/1966	1099.8
31	1966	8	                1096,30000						8/1966	1096.3
32	1966	9	                1105,00000						9/1966	1105.0
33	1966	10	                1122,40000						10/1966	1122.4
34	1966	11	                1118,90000						11/1966	1118.9
35	1966	12	                1113,70000						12/1966	1113.7
36	1967	1	                1122,40000						1/1967	1122.4
37	1967	2	                1132,80000						2/1967	1132.8
38	1967	3	                1134,50000						3/1967	1134.5
39	1967	4	                1209,30000						4/1967	1209.3
40	1967	5	                1165,80000						5/1967	1165.8
41	1967	6	                1184,90000						6/1967	1184.9
42	1967	7	                1155,40000						7/1967	1155.4
43	1967	8	                1151,90000						8/1967	1151.9
44	1967	9	                1190,10000						9/1967	1190.1
45	1967	10	                1280,50000						10/1967	1280.5
46	1967	11	                1176,20000						11/1967	1176.2
47	1967	12	                1167,60000						12/1967	1167.6
48	1968	1	                1237,10000						1/1968	1237.1
49	1968	2	                1266,60000						2/1968	1266.6
50	1968	3	                1237,10000						3/1968	1237.1
51	1968	4	                1252,70000						4/1968	1252.7
52	1968	5	                1278,80000						5/1968	1278.8
53	1968	6	                1237,10000						6/1968	1237.1
54	1968	7	                1259,60000						7/1968	1259.6
55	1968	8	                1257,90000						8/1968	1257.9
56	1968	9	                1268,30000						9/1968	1268.3
57	1968	10	                1323,90000						10/1968	1323.9
58	1968	11	                1329,10000						11/1968	1329.1
59	1968	12	                1336,10000						12/1968	1336.1
60	1969	1	                1323,90000						1/1969	1323.9
61	1969	2	                1313,50000						2/1969	1313.5
62	1969	3	                1327,40000						3/1969	1327.4
63	1969	4	                1310,00000						4/1969	1310.0
64	1969	5	                1356,90000						5/1969	1356.9
65	1969	6	                1351,70000						6/1969	1351.7
66	1969	7	                1341,30000						7/1969	1341.3
67	1969	8	                1367,40000						8/1969	1367.4
68	1969	9	                1376,10000						9/1969	1376.1
69	1969	10	                1398,60000						10/1969	1398.6
70	1969	11	                1384,70000						11/1969	1384.7
71	1969	12	                1370,80000						12/1969	1370.8
72	1970	1	                1171,00000						1/1970	1171.0
73	1970	2	                1296,10000						2/1970	1296.1
74	1970	3	                1339,60000						3/1970	1339.6
75	1970	4	                1607,10000						4/1970	1607.1
76	1970	5	                1395,20000						5/1970	1395.2
77	1970	6	                1443,80000						6/1970	1443.8
78	1970	7	                1445,60000						7/1970	1445.6
79	1970	8	                1402,10000						8/1970	1402.1
80	1970	9	                1461,20000						9/1970	1461.2
81	1970	10	                1454,20000						10/1970	1454.2
82	1970	11	                1396,90000						11/1970	1396.9
83	1970	12	                1160,60000						12/1970	1160.6
84	1971	1	                1087,60000						1/1971	1087.6
85	1971	2	                1257,90000						2/1971	1257.9
86	1971	3	                1419,50000						3/1971	1419.5
87	1971	4	                1383,00000						4/1971	1383.0
88	1971	5	                1393,40000						5/1971	1393.4
89	1971	6	                1417,80000						6/1971	1417.8
90	1971	7	                1555,00000						7/1971	1555.0
91	1971	8	                1443,80000						8/1971	1443.8
92	1971	9	                1447,30000						9/1971	1447.3
93	1971	10	                1391,70000						10/1971	1391.7
94	1971	11	                1445,60000						11/1971	1445.6
95	1971	12	                1362,20000						12/1971	1362.2
96	1972	1	                1224,90000						1/1972	1224.9
97	1972	2	                1367,40000						2/1972	1367.4
98	1972	3	                1610,60000						3/1972	1610.6
99	1972	4	                1622,80000						4/1972	1622.8
100	1972	5	                1638,40000						5/1972	1638.4
101	1972	6	                1603,70000						6/1972	1603.7
102	1972	7	                1593,20000						7/1972	1593.2
103	1972	8	                1772,20000						8/1972	1772.2
104	1972	9	                1673,20000						9/1972	1673.2
105	1972	10	                1640,10000						10/1972	1640.1
106	1972	11	                1667,90000						11/1972	1667.9
107	1972	12	                1457,70000						12/1972	1457.7
108	1973	1	                1565,40000						1/1973	1565.4
109	1973	2	                1659,30000						2/1973	1659.3
110	1973	3	                1874,70000						3/1973	1874.7
111	1973	4	                1737,40000						4/1973	1737.4
112	1973	5	                1890,30000						5/1973	1890.3
113	1973	6	                1918,10000						6/1973	1918.1
114	1973	7	                1846,90000						7/1973	1846.9
115	1973	8	                1897,30000						8/1973	1897.3
116	1973	9	                1827,80000						9/1973	1827.8
117	1973	10	                1914,70000						10/1973	1914.7
118	1973	11	                1886,90000						11/1973	1886.9
119	1973	12	                1588,00000						12/1973	1588.0
120	1974	1	                1824,30000						1/1974	1824.3
121	1974	2	                1720,10000						2/1974	1720.1
122	1974	3	                1850,40000						3/1974	1850.4
123	1974	4	                1925,10000						4/1974	1925.1
124	1974	5	                2057,10000						5/1974	2057.1
125	1974	6	                1827,80000						6/1974	1827.8
126	1974	7	                1869,50000						7/1974	1869.5
127	1974	8	                1843,40000						8/1974	1843.4
128	1974	9	                1817,40000						9/1974	1817.4
129	1974	10	                2012,00000						10/1974	2012.0
130	1974	11	                1798,30000						11/1974	1798.3
131	1974	12	                1601,90000						12/1974	1601.9
132	1975	1	                1606,90000						1/1975	1606.9
133	1975	2	                1637,40000						2/1975	1637.4
134	1975	3	                1564,80000						3/1975	1564.8
135	1975	4	                1913,00000						4/1975	1913.0
136	1975	5	                1822,70000						5/1975	1822.7
137	1975	6	                1869,40000						6/1975	1869.4
