	annus	mes	observaciones	codigo	 titulo	 unidad	 fuente	 notas	fecha	valor
0	1996	1	                2995,77400	170000n	PARO REGISTRADO	MILES	MINISTERIO DE TRABAJO	www.sepe.es/HomeSepe/que-es-el-sepe/estadisticas/datos-avance/conceptos.html.  	1/1996	2995.8
1	1996	2	                2994,92200						2/1996	2994.9
2	1996	3	                2969,47300						3/1996	2969.5
3	1996	4	                2891,58000						4/1996	2891.6
4	1996	5	                2813,18000						5/1996	2813.2
5	1996	6	                2783,07600						6/1996	2783.1
6	1996	7	                2712,45700						7/1996	2712.5
7	1996	8	                2677,61000						8/1996	2677.6
8	1996	9	                2735,84300						9/1996	2735.8
9	1996	10	                2775,95100						10/1996	2776.0
10	1996	11	                2796,22900						11/1996	2796.2
11	1996	12	                2747,04900						12/1996	2747.0
12	1997	1	                2782,27600						1/1997	2782.3
13	1997	2	                2787,66200						2/1997	2787.7
14	1997	3	                2751,55400						3/1997	2751.6
15	1997	4	                2699,19200						4/1997	2699.2
16	1997	5	                2638,51900						5/1997	2638.5
17	1997	6	                2614,28500						6/1997	2614.3
18	1997	7	                2519,68800						7/1997	2519.7
19	1997	8	                2491,57700						8/1997	2491.6
20	1997	9	                2550,63600						9/1997	2550.6
21	1997	10	                2577,05200						10/1997	2577.1
22	1997	11	                2600,73200						11/1997	2600.7
23	1997	12	                2566,90400						12/1997	2566.9
24	1998	1	                2577,18900						1/1998	2577.2
25	1998	2	                2553,34600						2/1998	2553.3
26	1998	3	                2524,00500						3/1998	2524.0
27	1998	4	                2442,80300						4/1998	2442.8
28	1998	5	                2369,88900						5/1998	2369.9
29	1998	6	                2332,01600						6/1998	2332.0
30	1998	7	                2250,01600						7/1998	2250.0
31	1998	8	                2235,29600						8/1998	2235.3
32	1998	9	                2256,32800						9/1998	2256.3
33	1998	10	                2267,92500						10/1998	2267.9
34	1998	11	                2270,24000						11/1998	2270.2
35	1998	12	                2233,25900						12/1998	2233.3
36	1999	1	                2251,72800						1/1999	2251.7
37	1999	2	                2233,08200						2/1999	2233.1
38	1999	3	                2202,33700						3/1999	2202.3
39	1999	4	                2144,37500						4/1999	2144.4
40	1999	5	                2076,94200						5/1999	2076.9
41	1999	6	                2045,95000						6/1999	2046.0
42	1999	7	                1980,95800						7/1999	1981.0
43	1999	8	                1980,96600						8/1999	1981.0
44	1999	9	                2002,55200						9/1999	2002.6
45	1999	10	                2019,96800						10/1999	2020.0
46	1999	11	                2055,80900						11/1999	2055.8
47	1999	12	                2027,98200						12/1999	2028.0
48	2000	1	                2090,03500						1/2000	2090.0
49	2000	2	                2079,75200						2/2000	2079.8
50	2000	3	                2042,33200						3/2000	2042.3
51	2000	4	                1983,99400						4/2000	1984.0
52	2000	5	                1929,02800						5/2000	1929.0
53	2000	6	                1903,05300						6/2000	1903.1
54	2000	7	                1892,68300						7/2000	1892.7
55	2000	8	                1888,38600						8/2000	1888.4
56	2000	9	                1908,12000						9/2000	1908.1
57	2000	10	                1934,13000						10/2000	1934.1
58	2000	11	                1962,79400						11/2000	1962.8
59	2000	12	                1947,24200						12/2000	1947.2
60	2001	1	                2017,38900						1/2001	2017.4
61	2001	2	                1993,27300						2/2001	1993.3
62	2001	3	                1981,00600						3/2001	1981.0
63	2001	4	                1910,45400						4/2001	1910.5
64	2001	5	                1898,28500						5/2001	1898.3
65	2001	6	                1842,55600						6/2001	1842.6
66	2001	7	                1835,74000						7/2001	1835.7
67	2001	8	                1878,51400						8/2001	1878.5
68	2001	9	                1889,18600						9/2001	1889.2
69	2001	10	                1940,91100						10/2001	1940.9
70	2001	11	                1985,85700						11/2001	1985.9
71	2001	12	                1988,71800						12/2001	1988.7
72	2002	1	                2075,02200						1/2002	2075.0
73	2002	2	                2149,90700						2/2002	2149.9
74	2002	3	                2083,10400						3/2002	2083.1
75	2002	4	                2060,07000						4/2002	2060.1
76	2002	5	                2002,92400						5/2002	2002.9
77	2002	6	                1962,96200						6/2002	1963.0
78	2002	7	                1961,85300						7/2002	1961.9
79	2002	8	                1983,98200						8/2002	1984.0
80	2002	9	                2006,78500						9/2002	2006.8
81	2002	10	                2064,51500						10/2002	2064.5
82	2002	11	                2117,14700						11/2002	2117.1
83	2002	12	                2127,01700						12/2002	2127.0
84	2003	1	                2185,15800						1/2003	2185.2
85	2003	2	                2180,21700						2/2003	2180.2
86	2003	3	                2163,50100						3/2003	2163.5
87	2003	4	                2104,47600						4/2003	2104.5
88	2003	5	                2035,60200						5/2003	2035.6
89	2003	6	                2020,36900						6/2003	2020.4
90	2003	7	                1995,96400						7/2003	1996.0
91	2003	8	                2016,67600						8/2003	2016.7
92	2003	9	                2039,63300						9/2003	2039.6
93	2003	10	                2096,60700						10/2003	2096.6
94	2003	11	                2143,20900						11/2003	2143.2
95	2003	12	                2181,24800						12/2003	2181.2
96	2004	1	                2232,56300						1/2004	2232.6
97	2004	2	                2219,30000						2/2004	2219.3
98	2004	3	                2181,54700						3/2004	2181.5
99	2004	4	                2162,40700						4/2004	2162.4
100	2004	5	                2090,70300						5/2004	2090.7
101	2004	6	                2054,11400						6/2004	2054.1
102	2004	7	                2014,21800						7/2004	2014.2
103	2004	8	                2049,64100						8/2004	2049.6
104	2004	9	                2050,51400						9/2004	2050.5
105	2004	10	                2075,81300						10/2004	2075.8
106	2004	11	                2121,08900						11/2004	2121.1
107	2004	12	                2112,71600						12/2004	2112.7
108	2005	1	                2176,59900						1/2005	2176.6
109	2005	2	                2165,42000						2/2005	2165.4
110	2005	3	                2144,83500						3/2005	2144.8
111	2005	4	                2095,94500						4/2005	2095.9
112	2005	5	                2007,39300						5/2005	2007.4
113	2005	6	                1974,86000						6/2005	1974.9
114	2005	7	                1989,41700						7/2005	1989.4
115	2005	8	                2019,11000						8/2005	2019.1
116	2005	9	                2013,28600						9/2005	2013.3
117	2005	10	                2052,86100						10/2005	2052.9
118	2005	11	                2095,58000						11/2005	2095.6
119	2005	12	                2102,93700						12/2005	2102.9
120	2006	1	                2171,50300						1/2006	2171.5
121	2006	2	                2169,27700						2/2006	2169.3
122	2006	3	                2148,53000						3/2006	2148.5
123	2006	4	                2075,67600						4/2006	2075.7
124	2006	5	                2004,52800						5/2006	2004.5
125	2006	6	                1959,75400						6/2006	1959.8
126	2006	7	                1954,98400						7/2006	1955.0
127	2006	8	                1983,67700						8/2006	1983.7
128	2006	9	                1966,16600						9/2006	1966.2
129	2006	10	                1992,83600						10/2006	1992.8
130	2006	11	                2023,16400						11/2006	2023.2
131	2006	12	                2022,87300						12/2006	2022.9
132	2007	1	                2082,50800						1/2007	2082.5
133	2007	2	                2075,27500						2/2007	2075.3
134	2007	3	                2059,45100						3/2007	2059.5
135	2007	4	                2023,12400						4/2007	2023.1
136	2007	5	                1973,23100						5/2007	1973.2
137	2007	6	                1965,86900						6/2007	1965.9
138	2007	7	                1970,33800						7/2007	1970.3
139	2007	8	                2028,29600						8/2007	2028.3
140	2007	9	                2017,36300						9/2007	2017.4
141	2007	10	                2048,57700						10/2007	2048.6
142	2007	11	                2094,47300						11/2007	2094.5
143	2007	12	                2129,54700						12/2007	2129.5
144	2008	1	                2261,92500						1/2008	2261.9
145	2008	2	                2315,33100						2/2008	2315.3
146	2008	3	                2300,97500						3/2008	2301.0
147	2008	4	                2338,51700						4/2008	2338.5
148	2008	5	                2353,57500						5/2008	2353.6
149	2008	6	                2390,42400						6/2008	2390.4
150	2008	7	                2426,91600						7/2008	2426.9
151	2008	8	                2530,00100						8/2008	2530.0
152	2008	9	                2625,36800						9/2008	2625.4
153	2008	10	                2818,02600						10/2008	2818.0
154	2008	11	                2989,26900						11/2008	2989.3
155	2008	12	                3128,96300						12/2008	3129.0
156	2009	1	                3327,80100						1/2009	3327.8
157	2009	2	                3481,85900						2/2009	3481.9
158	2009	3	                3605,40200						3/2009	3605.4
159	2009	4	                3644,88000						4/2009	3644.9
160	2009	5	                3620,13900						5/2009	3620.1
161	2009	6	                3564,88900						6/2009	3564.9
162	2009	7	                3544,09500						7/2009	3544.1
163	2009	8	                3629,08000						8/2009	3629.1
164	2009	9	                3709,44700						9/2009	3709.4
165	2009	10	                3808,35300						10/2009	3808.4
166	2009	11	                3868,94600						11/2009	3868.9
167	2009	12	                3923,60300						12/2009	3923.6
168	2010	1	                4048,49300						1/2010	4048.5
169	2010	2	                4130,62500						2/2010	4130.6
170	2010	3	                4166,61300						3/2010	4166.6
171	2010	4	                4142,42500						4/2010	4142.4
172	2010	5	                4066,20200						5/2010	4066.2
173	2010	6	                3982,36800						6/2010	3982.4
174	2010	7	                3908,57800						7/2010	3908.6
175	2010	8	                3969,66100						8/2010	3969.7
176	2010	9	                4017,76300						9/2010	4017.8
177	2010	10	                4085,97600						10/2010	4086.0
178	2010	11	                4110,29400						11/2010	4110.3
179	2010	12	                4100,07300						12/2010	4100.1
180	2011	1	                4231,00300						1/2011	4231.0
181	2011	2	                4299,26300						2/2011	4299.3
182	2011	3	                4333,66900						3/2011	4333.7
183	2011	4	                4269,36000						4/2011	4269.4
184	2011	5	                4189,65900						5/2011	4189.7
185	2011	6	                4121,80100						6/2011	4121.8
186	2011	7	                4079,74200						7/2011	4079.7
187	2011	8	                4130,92700						8/2011	4130.9
188	2011	9	                4226,74400						9/2011	4226.7
189	2011	10	                4360,92600						10/2011	4360.9
190	2011	11	                4420,46200						11/2011	4420.5
191	2011	12	                4422,35900						12/2011	4422.4
192	2012	1	                4599,82900						1/2012	4599.8
193	2012	2	                4712,09800						2/2012	4712.1
194	2012	3	                4750,86700						3/2012	4750.9
195	2012	4	                4744,23500						4/2012	4744.2
196	2012	5	                4714,12200						5/2012	4714.1
197	2012	6	                4615,26900						6/2012	4615.3
198	2012	7	                4587,45500						7/2012	4587.5
199	2012	8	                4625,63400						8/2012	4625.6
200	2012	9	                4705,27900						9/2012	4705.3
201	2012	10	                4833,52100						10/2012	4833.5
202	2012	11	                4907,81700						11/2012	4907.8
203	2012	12	                4848,72300						12/2012	4848.7
204	2013	1	                4980,77800						1/2013	4980.8
205	2013	2	                5040,22200						2/2013	5040.2
206	2013	3	                5035,24300						3/2013	5035.2
207	2013	4	                4989,19300						4/2013	4989.2
208	2013	5	                4890,92800						5/2013	4890.9
209	2013	6	                4763,68000						6/2013	4763.7
210	2013	7	                4698,81400						7/2013	4698.8
211	2013	8	                4698,78300						8/2013	4698.8
212	2013	9	                4724,35500						9/2013	4724.4
213	2013	10	                4811,38300						10/2013	4811.4
214	2013	11	                4808,90800						11/2013	4808.9
215	2013	12	                4701,33800						12/2013	4701.3
216	2014	1	                4814,43500						1/2014	4814.4
217	2014	2	                4812,48600						2/2014	4812.5
218	2014	3	                4795,86600						3/2014	4795.9
219	2014	4	                4684,30100						4/2014	4684.3
220	2014	5	                4572,38500						5/2014	4572.4
221	2014	6	                4449,70100						6/2014	4449.7
222	2014	7	                4419,86000						7/2014	4419.9
223	2014	8	                4427,93000						8/2014	4427.9
224	2014	9	                4447,65000						9/2014	4447.6
225	2014	10	                4526,80400						10/2014	4526.8
226	2014	11	                4512,11600						11/2014	4512.1
227	2014	12	                4447,71100						12/2014	4447.7
228	2015	1	                4525,69100						1/2015	4525.7
229	2015	2	                4512,15300						2/2015	4512.2
230	2015	3	                4451,93900						3/2015	4451.9
231	2015	4	                4333,01600						4/2015	4333.0
232	2015	5	                4215,03100						5/2015	4215.0
233	2015	6	                4120,30400						6/2015	4120.3
234	2015	7	                4046,27600						7/2015	4046.3
235	2015	8	                4067,95500						8/2015	4068.0
236	2015	9	                4094,04200						9/2015	4094.0
237	2015	10	                4176,36900						10/2015	4176.4
238	2015	11	                4149,29800						11/2015	4149.3
239	2015	12	                4093,50800						12/2015	4093.5
240	2016	1	                4150,75500						1/2016	4150.8
241	2016	2	                4152,98600						2/2016	4153.0
242	2016	3	                4094,77000						3/2016	4094.8
