	annus	mes	observaciones	codigo	 titulo	 unidad	 fuente	 notas	fecha	valor
0	2004	1	               50657,00000	232020.0	VIVIENDAS INICIADAS. TOTAL (LIBRES Y PROTEGIDAS)	UNIDADES	MINISTERIO DE FOMENTO	Vivienda libre y protegida  (www.mitma.es/el-ministerio/observatorios-y-estadisticas).  	1/2004	50657.0
1	2004	2	               52487,00000						2/2004	52487.0
2	2004	3	               62407,00000						3/2004	62407.0
3	2004	4	               52027,00000						4/2004	52027.0
4	2004	5	               56211,00000						5/2004	56211.0
5	2004	6	               62470,00000						6/2004	62470.0
6	2004	7	               53635,00000						7/2004	53635.0
7	2004	8	               56806,00000						8/2004	56806.0
8	2004	9	               65170,00000						9/2004	65170.0
9	2004	10	               75883,00000						10/2004	75883.0
10	2004	11	               44065,00000						11/2004	44065.0
11	2004	12	               58604,00000						12/2004	58604.0
12	2005	1	               59027,00000						1/2005	59027.0
13	2005	2	               57683,00000						2/2005	57683.0
14	2005	3	               63978,00000						3/2005	63978.0
15	2005	4	               54836,00000						4/2005	54836.0
16	2005	5	               59689,00000						5/2005	59689.0
17	2005	6	               63319,00000						6/2005	63319.0
18	2005	7	               61278,00000						7/2005	61278.0
19	2005	8	               58815,00000						8/2005	58815.0
20	2005	9	               60258,00000						9/2005	60258.0
21	2005	10	               64487,00000						10/2005	64487.0
22	2005	11	               44710,00000						11/2005	44710.0
23	2005	12	               68193,00000						12/2005	68193.0
24	2006	1	               57602,00000						1/2006	57602.0
25	2006	2	               60023,00000						2/2006	60023.0
26	2006	3	               57061,00000						3/2006	57061.0
27	2006	4	               61143,00000						4/2006	61143.0
28	2006	5	               61281,00000						5/2006	61281.0
29	2006	6	               67870,00000						6/2006	67870.0
30	2006	7	               51118,00000						7/2006	51118.0
31	2006	8	               64211,00000						8/2006	64211.0
32	2006	9	               67619,00000						9/2006	67619.0
33	2006	10	               80109,00000						10/2006	80109.0
34	2006	11	               60194,00000						11/2006	60194.0
35	2006	12	               71948,00000						12/2006	71948.0
36	2007	1	               63415,00000						1/2007	63415.0
37	2007	2	               55400,00000						2/2007	55400.0
38	2007	3	               50574,00000						3/2007	50574.0
39	2007	4	               53637,00000						4/2007	53637.0
40	2007	5	               50925,00000						5/2007	50925.0
41	2007	6	               58766,00000						6/2007	58766.0
42	2007	7	               49254,00000						7/2007	49254.0
43	2007	8	               49374,00000						8/2007	49374.0
44	2007	9	               48207,00000						9/2007	48207.0
45	2007	10	               48763,00000						10/2007	48763.0
46	2007	11	               37393,00000						11/2007	37393.0
47	2007	12	               50268,00000						12/2007	50268.0
48	2008	1	               34516,00000						1/2008	34516.0
49	2008	2	               31824,00000						2/2008	31824.0
50	2008	3	               27085,00000						3/2008	27085.0
51	2008	4	               30151,00000						4/2008	30151.0
52	2008	5	               32050,00000						5/2008	32050.0
53	2008	6	               28717,00000						6/2008	28717.0
54	2008	7	               24489,00000						7/2008	24489.0
55	2008	8	               17428,00000						8/2008	17428.0
56	2008	9	               20808,00000						9/2008	20808.0
57	2008	10	               32487,00000						10/2008	32487.0
58	2008	11	               21161,00000						11/2008	21161.0
59	2008	12	               27774,00000						12/2008	27774.0
60	2009	1	               11982,00000						1/2009	11982.0
61	2009	2	               12527,00000						2/2009	12527.0
62	2009	3	               14363,00000						3/2009	14363.0
63	2009	4	               13644,00000						4/2009	13644.0
64	2009	5	               13891,00000						5/2009	13891.0
65	2009	6	               13700,00000						6/2009	13700.0
66	2009	7	               13387,00000						7/2009	13387.0
67	2009	8	                9183,00000						8/2009	9183.0
68	2009	9	               10529,00000						9/2009	10529.0
69	2009	10	               14009,00000						10/2009	14009.0
70	2009	11	               12290,00000						11/2009	12290.0
71	2009	12	               19781,00000						12/2009	19781.0
72	2010	1	               11945,00000						1/2010	11945.0
73	2010	2	               10299,00000						2/2010	10299.0
74	2010	3	                9571,00000						3/2010	9571.0
75	2010	4	               10620,00000						4/2010	10620.0
76	2010	5	               11400,00000						5/2010	11400.0
77	2010	6	               11041,00000						6/2010	11041.0
78	2010	7	                8033,00000						7/2010	8033.0
79	2010	8	                6842,00000						8/2010	6842.0
80	2010	9	                9884,00000						9/2010	9884.0
81	2010	10	               11572,00000						10/2010	11572.0
82	2010	11	                7761,00000						11/2010	7761.0
83	2010	12	               14648,00000						12/2010	14648.0
84	2011	1	                6925,00000						1/2011	6925.0
85	2011	2	                7268,00000						2/2011	7268.0
86	2011	3	                8760,00000						3/2011	8760.0
87	2011	4	                7002,00000						4/2011	7002.0
88	2011	5	                8325,00000						5/2011	8325.0
89	2011	6	               11790,00000						6/2011	11790.0
90	2011	7	                5578,00000						7/2011	5578.0
91	2011	8	                6105,00000						8/2011	6105.0
92	2011	9	                6240,00000						9/2011	6240.0
93	2011	10	                6661,00000						10/2011	6661.0
94	2011	11	                6619,00000						11/2011	6619.0
95	2011	12	                4965,00000						12/2011	4965.0
96	2012	1	                6095,00000						1/2012	6095.0
97	2012	2	                5040,00000						2/2012	5040.0
98	2012	3	                5880,00000						3/2012	5880.0
99	2012	4	                3575,00000						4/2012	3575.0
100	2012	5	                4469,00000						5/2012	4469.0
101	2012	6	                4027,00000						6/2012	4027.0
102	2012	7	                3449,00000						7/2012	3449.0
103	2012	8	                4264,00000						8/2012	4264.0
104	2012	9	                4135,00000						9/2012	4135.0
105	2012	10	                4389,00000						10/2012	4389.0
106	2012	11	                2712,00000						11/2012	2712.0
107	2012	12	                3700,00000						12/2012	3700.0
108	2013	1	                2951,00000						1/2013	2951.0
109	2013	2	                3197,00000						2/2013	3197.0
110	2013	3	                2652,00000						3/2013	2652.0
111	2013	4	                2911,00000						4/2013	2911.0
112	2013	5	                4077,00000						5/2013	4077.0
113	2013	6	                3084,00000						6/2013	3084.0
114	2013	7	                2651,00000						7/2013	2651.0
115	2013	8	                2398,00000						8/2013	2398.0
116	2013	9	                2573,00000						9/2013	2573.0
117	2013	10	                3997,00000						10/2013	3997.0
118	2013	11	                2444,00000						11/2013	2444.0
